빌드_날짜,총_검색결과,검색_시작,출력_개수,뉴스_제목,원본_URL,네이버_URL,뉴스_요약,게시_날짜
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"홈플러스 노조 &quot;MBK 김병주 사재출연, <b>사회</b>적 압박에 따른 임시방편 불...",https://www.newsis.com/view/NISX20250317_0003101328,https://n.news.naver.com/mnews/article/003/0013123416?sid=101,"노조는 17일 오전 국회 소통관에서 기자회견을 열고 &quot;김병주 회장은 홈플러스 사태가 심각해지고 국회의 출석 요구, 국세청 세무조사, 노동조합의 반발 등 <b>사회</b>적 압박이 거세지자 마지못해 사재 출연이라는 조치를... ","Mon, 17 Mar 2025 11:48:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"휘성 유족, 조의금 전액 기부 결정... &quot;<b>사회</b> 좋은 영향 줄 곳에&quot;",https://www.hankookilbo.com/News/Read/A2025031714500001471?did=NA,https://n.news.naver.com/mnews/article/469/0000854114?sid=103,휘성의 동생 최혁성씨는 17일 휘성의 소속사 타조엔터테인먼트를 통해 &quot;장례 기간 보내주신 조의금 전액을 휘성 이름으로 <b>사회</b>에 좋은 영향을 줄 수 있는 곳에 사용하고자 한다&quot;며 &quot;차후 해당 분야의 전문가들과 협의를... ,"Mon, 17 Mar 2025 15:18:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,MBK 김병주 사재 출연...홈플러스 “<b>사회</b>적 책임 다할 것” [이슈+],https://economist.co.kr/article/view/ecn202503170034,https://n.news.naver.com/mnews/article/243/0000074500?sid=101,대주주로서의 <b>사회</b>적 책임을 다하기 위해 자금 사정이 어려운 소상공인들의 채권을 조속히 지급할 수 있도록 재정 지원을 하기로 결심했다며 이처럼 밝혔다. 앞서 지난 16일 MBK 파트너스는 홈플러스 대주주로서 <b>사회</b>적... ,"Mon, 17 Mar 2025 10:48:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"김병주 MBK 회장, 사재 출연 결정…&quot;<b>사회</b>적 책임 다할 것&quot;",https://news.tf.co.kr/read/economy/2187796.htm,https://n.news.naver.com/mnews/article/629/0000372944?sid=101,"관련된 <b>사회</b>적 책임을 다할 것이다. 홈플러스가 회생절차를 빠르게 졸업하고, 다시 정상 궤도에 오를 수... 많은 <b>사회</b>적 혼란이 초래됐다는 것을 잘 알고 있었기 때문이다. MBK파트너스는 회생법원의 보호 아래... ","Sun, 16 Mar 2025 15:41:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,다문화 청소년 <b>사회</b> 진출 돕는 기아의 '하모니움',http://news.mt.co.kr/mtview.php?no=2025031708314215080,https://n.news.naver.com/mnews/article/008/0005166450?sid=101,"안정적인 <b>사회</b> 진출을 돕기 위한 '하모니움 교육 프로그램' 참여자를 모집한다고 17일 밝혔다. '하모니움'은 조화를 의미하는 '하모니'(Harmony)와 새싹이 돋다를 의미하는 '움트다'의 합성어로, 국내 다문화 청소년의 <b>사회</b>... ","Mon, 17 Mar 2025 09:11:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"故 휘성 유족, 조의금 전액 기부…&quot;<b>사회</b>에 좋은 영향 줄 수 있길&quot;",https://www.hankyung.com/article/2025031783777,https://n.news.naver.com/mnews/article/015/0005106842?sid=102,휘성의 동생 최혁성 씨는 17일 공식 입장문을 통해 &quot;이번 장례 기간 보내주신 조의금 전부는 가수 휘성의 이름으로 <b>사회</b>에 좋은 영향을 줄 수 있는 곳에 사용하고자 한다&quot;고 밝혔다. 추후 해당 분야의 전문가분들과 협의해... ,"Mon, 17 Mar 2025 11:07:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"야5당 5인방, 국제의원연맹에 尹계엄 진정…&quot;국제<b>사회</b>가 심판&quot;",https://www.news1.kr/politics/assembly/5721517,https://n.news.naver.com/mnews/article/421/0008134158?sid=100,민주당 이재정·조국혁신당 김준형·진보당 윤종오·기본소득당 용혜인·<b>사회</b>민주당 한창민 의원은 이날 &quot;새로운 대한민국으로 나아가기 위해 국제 <b>사회</b>와 긴밀히 연대하겠다&quot;며 이같이 밝혔다. 이들은 &quot;민주주의 후퇴와... ,"Mon, 17 Mar 2025 14:53:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,"기아, 다문화 청소년 <b>사회</b> 진출 프로그램 참여자 모집",https://www.etnews.com/20250317000364,https://n.news.naver.com/mnews/article/030/0003293843?sid=103,기아가 다문화 청소년 안정적 <b>사회</b> 진출을 돕기 위한 <b>사회</b>공헌 프로그램 '하모니움' 참여자를 모집한다고 17일 밝혔다. '하모니움'은 조화를 의미하는 '하모니'와 새싹이 돋다를 의미하는 '움트다' 합성어다. 국내 다문화... ,"Mon, 17 Mar 2025 15:57:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,故 휘성 조의금 전액 기부 “<b>사회</b> 좋은 영향 줄 수 있는 곳에 사용” [공...,https://www.mk.co.kr/article/11265460,https://m.entertain.naver.com/article/009/0005459785,유가족은 “이번 장례 기간 동안 보내주신 조의금 전부는 가수 휘성의 이름으로 <b>사회</b>에 좋은 영향을 줄 수... 이번 장례 기간 동안 보내주신 조의금 전부는 가수 휘성의 이름으로 <b>사회</b>에 좋은 영향을 줄 수 있는 곳에... ,"Mon, 17 Mar 2025 10:52:00 +0900"
"Mon, 17 Mar 2025 16:46:44 +0900",25414112,1,10,故 휘성 조의금 전액 <b>사회</b> 환원…유가족 “최선의 방법 찾을 것” [전문...,https://sports.donga.com/ent/article/all/20250317/131220225/1,https://m.entertain.naver.com/article/382/0001184470,故 휘성 조의금 전액 <b>사회</b> 환원…유가족 “최선의 방법 찾을 것” [전문] 故 휘성의 조의금 전액이 <b>사회</b>를 위해 쓰인다. 휘성의 동생은 17일 입장문을 통해 “지난 주말 장례 기간 동안 많은 동료와 팬분들이 오셔서 형의... ,"Mon, 17 Mar 2025 10:56:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"故휘성 유족, 조의금 전액 기부 &quot;<b>사회</b>에 좋은 영향&quot;",https://www.newsis.com/view/NISX20250317_0003100670,https://m.entertain.naver.com/article/003/0013123323,유족은 조의금을 휘성의 이름으로 <b>사회</b>에 좋은 영향을 줄 수 있는 곳에 사용하기로 했다. 최 씨는 이와 관련 해당 분야의 전문가분들과의 협의를 통해 지속가능한 최선의 방법을 찾아보도록 하겠다고 전했다. 휘성의... ,"Mon, 17 Mar 2025 11:21:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,김문수 &quot;청년·여성도 건설현장서 일할 수 있도록 <b>사회</b>인식 개선&quot;,https://www.newsis.com/view/NISX20250317_0003101002,https://n.news.naver.com/mnews/article/003/0013123018?sid=102,이어 &quot;숙련기능인으로 성장할 수 있도록 기능등급제를 통해 훈련과 취업의 연계를 강화하고 건설업에 대한 <b>사회</b> 인식도 개선하겠다&quot;고 했다. 특히 임금체불과 관련해 &quot;전자대금지급시스템을 민간공사까지 확대하고... ,"Mon, 17 Mar 2025 10:20:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,김병주 회장 사재출연…MBK &quot;홈플 대주주로서 <b>사회</b>적 책임 다할 것&quot;,https://www.newsis.com/view/NISX20250316_0003100423,https://n.news.naver.com/mnews/article/003/0013122258?sid=101,"관련된 <b>사회</b>적 책임을 다 할 것&quot;이라며 &quot;홈플러스가 회생절차를 빠르게 졸업하고, 다시 정상 궤도로 오를 수... 많은 <b>사회</b>적 혼란이 초래됐다는 것을 잘 알고 있었기 때문&quot;이라고 강조했다. 이어 &quot;회생법원의 보호 아래... ","Sun, 16 Mar 2025 15:15:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,안랩 창립 30주년… 안철수 &quot;<b>사회</b> 기여하는 초일류 기업 되자&quot;,https://www.newsis.com/view/NISX20250316_0003100261,https://n.news.naver.com/mnews/article/003/0013121786?sid=105,"이날 기념식에서는 ▲안철수 창업자의 회고를 겸한 환영사 ▲원유재 이<b>사회</b> 의장 축사 ▲강석균 대표... 모든 것들은 장기적으로 보고, 개인이나 기업만이 아니라 항상 <b>사회</b>를 생각하는 방향이 옳은 것”이라며 &quot;30주년을... ","Sun, 16 Mar 2025 10:14:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"DGB<b>사회</b>공헌재단, iM대학생봉사단 발대…&quot;따뜻한 금융&quot;",https://www.newsis.com/view/NISX20250317_0003101412,https://n.news.naver.com/mnews/article/003/0013123604?sid=102,DGB금융그룹 DGB<b>사회</b>공헌재단은 지역과 상생하며 이웃사랑을 실천하는 iM대학생봉사단을 발대했다고 17일 밝혔다. DGB<b>사회</b>공헌재단에서 2013년부터 운영해온 iM대학생봉사단은 이번 발대식을 시작으로 저소득 가정 아동... ,"Mon, 17 Mar 2025 13:30:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,계룡시립예술단 창단…&quot;예술을 통한 지역<b>사회</b> 화합 기대&quot;,https://www.newsis.com/view/NISX20250317_0003101363,https://n.news.naver.com/mnews/article/003/0013123523?sid=102,"이응우 시장은 &quot;계룡시립예술단 창단은 문화예술을 통해 지역 <b>사회</b>의 화합을 유도하는 중요한 계기가 될 것&quot;이라며, &quot;다양한 세대와 문화가 어우러진 시립예술단 창단으로 지역의 전통예술에 담긴 의미를 되새김은 물론... ","Mon, 17 Mar 2025 12:31:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"계룡시 노인복지관, 복지부 <b>사회</b>복지시설평가 최우수등급",https://www.newsis.com/view/NISX20250317_0003101378,https://n.news.naver.com/mnews/article/003/0013123562?sid=102,"충남 계룡시는 시 노인복지관이 보건복지부가 주관한 '2024년 <b>사회</b>복지시설평가'에서 최우수 등급(A)으로... 계룡시 노인복지관은 2008년 개관 이후 <b>사회</b>복지시설평가에서 5회 연속(2012년, 2015년, 2018년, 2022년, 2024년)... ","Mon, 17 Mar 2025 13:02:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"김동연 “전광훈·손현보, 예수님 뜻 참칭하며 <b>사회</b>분열 획책 그만둬야...",https://www.mk.co.kr/article/11265188,https://n.news.naver.com/mnews/article/009/0005459596?sid=100,김동연 경기도지사는 16일 “전광훈·손현보씨는 예수님 뜻을 참칭하며 <b>사회</b> 분열을 획책하는 짓을 그만두고 회개하라”고 촉구했다. 김 지사는 이날 용인 한 교회에서 예배에 참석한 뒤 <b>사회</b>관계망서비스(SNS)에 올린... ,"Sun, 16 Mar 2025 21:21:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"충주종합<b>사회</b>복지관, 복지부 시설 운영평가 A등급",https://www.newsis.com/view/NISX20250317_0003101278,https://n.news.naver.com/mnews/article/003/0013123350?sid=102,충북 충주종합<b>사회</b>복지관이 보건복지부 평가에서 A등급을 받았다. 충주시에 따르면 복지관은 복지부가 전국 287개 <b>사회</b>복지관을 대상으로 진행한 2022~2023년 <b>사회</b>복지시설 운영평가에서 A등급에 올랐다. 복지관은 같은... ,"Mon, 17 Mar 2025 11:28:00 +0900"
"Mon, 17 Mar 2025 16:46:45 +0900",25414114,11,10,"SC제일·씨티, 7천880억 원 본사 '거액 배당'‥<b>사회</b> 공헌에는 소극적",https://imnews.imbc.com/news/2025/econo/article/6696316_36737.html,https://n.news.naver.com/mnews/article/214/0001411429?sid=101,금융권에 따르면 SC제일은행은 지난 14일 정기 이<b>사회</b>를 열고 2천320억 원 규모의 결산 배당을... SC제일은행과 한국씨티은행은 본사에 거액을 배당하지만 우리나라에서 <b>사회</b> 공헌에는 소극적이라는 지적도 받고... ,"Sun, 16 Mar 2025 09:56:00 +0900"
"Mon, 17 Mar 2025 16:46:46 +0900",25414115,21,10,김기문 &quot;中企가 존중받는 <b>사회</b>&quot;...'명예의 전당' 디지털로 탈바꿈,http://news.mt.co.kr/mtview.php?no=2025031711060575371,https://n.news.naver.com/mnews/article/008/0005166595?sid=101,특히 중소기업인이 존경 받는 <b>사회</b>를 만들기 위해 2007년부터 '중소기업을 빛낸 얼굴들'이라는 이름으로 모범 중소기업인의 흉상 동판을 전시해 오던 것을 AI시대에 맞게 디지털 전환을 통해 새롭게 개관한 것이다. 김... ,"Mon, 17 Mar 2025 11:11:00 +0900"
"Mon, 17 Mar 2025 16:46:46 +0900",25414115,21,10,“2029년부터 취업자 수 감소세로 전환”···고령화<b>사회</b> 악몽 코앞까지,https://www.khan.co.kr/article/202503171200011,https://n.news.naver.com/mnews/article/032/0003357077?sid=102,"저출생·고령화 현상이 가팔라지면서 경제활동인구는 2030년부터, 취업자 수는 2029년부터 각각 감소할 것이라는 전망이 나왔다. 경제성장 둔화를 막기 위해 2033년까지 82만명가량의 추가 인력이 필요할... ","Mon, 17 Mar 2025 12:01:00 +0900"
